S24137900083,54444,4,3.55,5.33
S27519400019,82636,2,6.30,9.45
S22395800022,80458,6,10.54,16.31
INV-06082600024,69636,2,8.66,12.99
S08806800029,65256,2,12.04,18.06
S31364200026,27454,2,7.95,11.93
S11789200019,84496,2,4.08,6.13
S09792800069,84170,2,9.50,14.25
INV-02314700245,37994,4,4.75,7.13
S08857000013,89193,1,3.00,4.49
S28894500007,10548,6,12.99,19.49
S18909700163,87485,2,26.00,39.00
INV-06277500020,10791,2,15.59,23.39
S22145400016,45277,2,4.34,6.51
S31556300067,19880,2,22.42,33.63
S30012700032,13038,6,9.00,13.50
S08062700050,21597,12,4.93,7.40
S26348400070,43076,12,5.78,8.67
S22524900001,11788,6,10.45,15.68
S27123600071,41078,6,14.97,22.46
S24766700010,10807,6,15.00,22.50
INV-02336400077,36903,1,1.13,1.70
S07805000020,43337,12,11.30,16.94
S16555900006,35918,6,7.20,10.79
S03581900002,11786,12,4.83,7.44
S28065100014,73053,3,16.34,24.51
S24912700018,35315,12,3.37,5.06
INV-01484400029,19067,1,12.59,18.89
S06680000119,17956,4,5.71,8.89
S14564300012,84617,12,5.50,8.25
