S24137900083,Quick Shop / Clear Lake,344,02/19/2015
S27519400019,Ruback's Food Center,65,08/25/2015
S22395800022,Brothers Market / Lisbon,330,11/17/2014
INV-06082600024,Hy-Vee Food Store / Corning,421,07/14/2017
S08806800029,Wapello Jack and Jill,192,11/07/2012
S31364200026,Smokin' Joe's #2 Tobacco and Liquor,259,03/21/2016
S11789200019,J & C Grocery / Allison,432,04/23/2013
S09792800069,Beecher Beverage,55,12/31/2012
INV-02314700245,Hy-Vee Food Store #1 / Cedar Rapids,260,12/21/2016
S08857000013,Hometown Foods / State Center,395,11/08/2012
S28894500007,Hy-Vee Food Store / Fleur / DSM,115,11/05/2015
S18909700163,Okoboji Avenue Liquor,260,05/13/2014
INV-06277500020,Great Pastimes,260,07/25/2017
S22145400016,Kolby's Liquor Store,434,11/04/2014
S31556300067,Hy-Vee DrugStore / Mason City,287,03/31/2016
S30012700032,Wal-Mart 1435 / Creston,434,01/05/2016
S08062700050,Ohio Avenue Liquor,55,10/02/2012
S26348400070,Hy-Vee Wine and Spirits / Spirit Lak,259,06/23/2015
S22524900001,Pronto Market,115,11/24/2014
S27123600071,Hy-Vee Food Store / Marshalltown,260,08/04/2015
S24766700010,Shamrock Spirits,260,03/31/2015
INV-02336400077,Hy-Vee Food Store / Johnston,300,12/22/2016
S07805000020,Swils,260,09/18/2012
S16555900006,Car-Go-Express / Sutherland,297,12/28/2013
S03581900002,Fareway Stores #019 / Sioux City,115,01/16/2012
S28065100014,J D Spirits Liquor,305,09/23/2015
S24912700018,Hy-Vee Food Store #1 / WDM,55,04/06/2015
INV-01484400029,C's Liquor Store,65,11/09/2016
S06680000119,Hy-Vee Food Store #5 / Cedar Rapids,259,07/19/2012
S14564300012,Nash Finch / Wholesale Food,380,09/16/2013
